Symbol,Description,Price,Price - Currency,Market capitalization,Market capitalization - Currency,"Price change %, 1 day","Performance %, 1 week","Performance %, 1 month","Performance %, 3 months","Performance %, 6 months","Performance %, Year to date","Performance %, 1 year","Performance %, 5 years",Price to earnings ratio,Sector,Industry,ISIN,"Dividend yield %, Trailing 12 months",Continuous dividend payout,Total common shares outstanding,Country or region of registration,"Price × average volume, 30 days","Price × average volume, 30 days - Currency"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,418.2,USD,1936007209886.1875,USD,1.0144927536231858,6.550485362684395,-4.524907538468562,0.2997961386257345,23.911111111111108,34.04705429835244,81.01545253863135,253.29897778153247,30.18295983544441,Electronic technology,Semiconductors,US8740391003,0.667050483091787,23,5186480000,Taiwan,6318555100.776331,USD
LLY,Eli Lilly and Company,1191.94,USD,1122499223160.0994,USD,1.8874053305523872,1.5255146802040904,-3.3206800337421365,22.366975679365957,12.873106060606066,10.733927907840947,57.547319445913104,352.3319798110129,40.502088069291965,Health technology,Pharmaceuticals: major,US5324571083,0.552202827688783,46,941741000,United States,3462389920.0773335,USD
BRK.B,Berkshire Hathaway Inc. New,524.61,USD,1018036732015.7517,USD,1.1101474414570667,3.681963713980789,3.0728726644006494,10.479098662735598,4.052124241342379,4.720935803257753,12.819354838709682,86.15073451139027,15.616553350082754,Finance,Property/Casualty insurance,US0846707026,0,0,1398310000,United States,2211853425.017,USD
BRK.A,Berkshire Hathaway Inc.,786000,USD,1017610044956.7338,USD,1.067765512445778,3.8502726406575647,2.605483495509822,9.930063780136287,4.408536202816423,4.8,12.922758153159918,85.19151182009564,15.598408843226169,Finance,Property/Casualty insurance,US0846701086,0,0,505696.99999999994,United States,133433279.81500006,USD
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",17.96,USD,962587675972,USD,-0.1667593107281689,-1.3186813186813102,-2.7612344342176396,-5.124141574220808,-7.183462532299744,-7.755521314843339,-7.03933747412008,-32.20083050207625,0.7693955361350298,Finance,Major banks,US48128B5802,1.6701926288832,46,2679510000,United States,2955214.0549999983,USD
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",16.75,USD,962587675972,USD,-0.5344418052256524,-1.7018779342722956,-3.067129629629636,-5.740011254924027,-9.164859002169203,-8.66957470010905,-8.068057080131718,-33.715868618915714,0.7175598680546631,Finance,Major banks,US48128B5232,1.6701926288832,46,2679510000,United States,3640937.7463333327,USD
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",18.84,USD,962587675972,USD,-0.7376185458377269,-1.7214397496087732,-2.484472049689443,-4.365482233502536,-7.054760730143068,-7.146377525874812,-6.916996047430824,-29.279279279279283,0.8070942038298419,Finance,Major banks,US48128B6222,1.6701926288832,46,2679510000,United States,1736478.4486666664,USD
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",18.2,USD,962587675972,USD,-0.709219858156023,-1.5684153596538626,-3.1399680681213407,-5.306971904266387,-7.707910750507097,-7.614213197969543,-7.567293042153387,-31.19092627599244,0.7796769909608876,Finance,Major banks,US48128B5497,1.6701926288832,46,2679510000,United States,4177882.4496666663,USD
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",24.94,USD,962587675972,USD,0,-0.31974420463628417,-1.4618727775582674,-0.7560684440907192,-0.716560509554139,-0.8744038155802817,-1.3839462238038667,-11.023902961113093,1.0684145139870627,Finance,Major banks,US48128B6487,1.6701926288832,46,2679510000,United States,3757314.8590000006,USD
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",23.64,USD,962587675972,USD,-0.4631578947368397,-1.2943632567849634,-1.541024573094548,-2.8360049321824814,-5.0602409638554136,-5.288461538461539,-4.869215291750506,-13.596491228070171,1.012723300346999,Finance,Major banks,US48128B6552,1.6701926288832,46,2679510000,United States,3397692.940333332,USD
JPM,JP Morgan Chase & Co.,356.3,USD,954709912450.7949,USD,-0.8183943881527662,2.5205731714335013,4.494464403548644,15.58799675587997,13.215341107686454,10.480620155038762,21.89531303455354,129.5895354082093,15.263676476888147,Finance,Major banks,US46625H1005,1.6701926288832,46,2679510000,United States,3196326588.131665,USD
V,Visa Inc.,370.47,USD,691685050939.4459,USD,0.5236880664242706,1.4986301369863089,6.337724963403095,15.416608252722094,11.661341853035161,5.887901220453317,9.510929809781405,54.36250000000002,31.793723127622876,Finance,Finance/Rental/Leasing,US92826C8394,0.705486514353937,18,1704110000,United States,2903798400.2196665,USD
XOM,ExxonMobil Holdings Corporation,154.84,USD,636688491518.1328,USD,2.1169953175493026,-0.1611967244825585,11.749422632794458,6.163866986630106,5.606329286591187,28.936630860188192,42.96662203961036,168.5397155740548,19.925876357646573,Energy minerals,Integrated oil,US30233Q1085,2.69076040361406,46,4111910000,United States,2183276839.611667,USD
JNJ,Johnson & Johnson,256.98,USD,619295691664.025,USD,-0.23681043518768463,-0.7914141219163628,-2.98614519234398,15.26868215663408,7.541011047874124,24.2529736002321,51.244776646459904,47.74060020696793,29.7851132386008,Health technology,Pharmaceuticals: major,US4781601046,2.03424045964517,46,2409900000,United States,2130636015.0759995,USD
